"warid","warname","statenum","stateacr","sdate1","sdate2","edate1","edate2","deaths","outcome","newcow","cow94","cow00","oldwid"
"ECW2.1-1225","Japan-Korean Guerrillas",740,"JPN","1907-8-1",NA,"1910-8-16",NA,17736,1,"ES-432",NA,NA,NA
"ECW2.1-1230","Iranian Constitution War",630,"IRN","1908-6-23",NA,"1909-7-17",NA,1000,2,"CW-647","CW-724","CW-591",1495
"ECW2.1-1230","Iranian Constitution War",365,"RUS","1909-4-30",NA,"1909-7-17",NA,100,2,"CW-647","CW-724","CW-591",1495
"ECW2.1-1235","Young Turks Counter-coup",640,"TUR","1909-4-14",NA,"1909-4-28",NA,6000,1,"CW-648",NA,NA,NA
"ECW2.1-1240","French Conquest of Wadai",220,"FRN","1909-5-1",NA,"1911-12-15",NA,12000,1,"ES-433",NA,NA,NA
"ECW2.1-1245","Second Albanian Revolt",640,"TUR","1910-3-1",NA,"1912-10-16",NA,NA,4,"CW-650",NA,NA,NA
"ECW2.1-125","British-Maratha",200,"UKG","1817-11-6",NA,"1818-6-3",NA,4800,1,"ES-306","IW-301","ES-301",5005
"ECW2.1-1250","Asir-Yemen Revolt",640,"TUR","1910-10-15",NA,"1911-10-9",NA,9000,6,"CW-651",NA,NA,NA
"ECW2.1-1255","Third Mexican",70,"MEX","1910-11-20",NA,"1914-7-15",NA,93750,2,"CW-652","CW-727","CW-592",1500
"ECW2.1-1260","Paraguay",150,"PAR","1911-7-15",NA,"1912-5-11",NA,5000,2,"CW-656","CW-733","CW-594",1510
"ECW2.1-1265","First Nationalist",710,"CHN","1911-10-11",NA,"1911-12-31",NA,1000,2,"CW-657","CW-736","CW-595",1515
"ECW2.1-1270","Ecuadorian Civil War",130,"ECU","1912-1-1",NA,"1914-12-15",NA,NA,1,"CW-670",NA,NA,NA
"ECW2.1-1272","First Sino-Tibetan",710,"CHN","1912-3-1",NA,"1913-1-15",NA,2000,2,"ES-435",NA,NA,NA
"ECW2.1-1275","French-Berber",220,"FRN","1912-3-31",NA,"1912-9-6",NA,3600,1,"ES-434","IW-405","ES-401",5260
"ECW2.1-1280","Cuban Black Uprising",40,"CUB","1912-5-20",NA,"1912-6-27",NA,1050,1,"CW-658",NA,NA,NA
"ECW2.1-1285","Moroccan Berber",220,"FRN","1913-3-26",NA,"1915-5-16",NA,1900,7,"ES-436",NA,NA,NA
"ECW2.1-1285","Moroccan Berber",230,"SPN","1913-6-1",NA,"1914-12-15",NA,NA,7,"ES-436",NA,NA,NA
"ECW2.1-1290","Moro Rebellion",2,"USA","1913-6-11",NA,"1913-10-22",NA,1550,1,"ES-437",NA,NA,NA
"ECW2.1-1295","Second Nationalist",710,"CHN","1913-7-12",NA,"1913-9-1",NA,5000,1,"CW-671","CW-739","CW-597",1520
"ECW2.1-130","First Caucasus",365,"RUS","1818-6-10",NA,"1822-12-15",NA,11000,1,"CW-500","IW-300","CW-500",1005
"ECW2.1-1300","China Pai Ling (White Wolf)",710,"CHN","1914-3-15",NA,"1914-9-15",NA,5000,1,"CW-672","CW-742","CW-598",1525
"ECW2.1-1305","Fourth Mexican",70,"MEX","1914-11-19",NA,"1920-7-28",NA,31250,1,"CW-673","CW-727","CW-592",1500
"ECW2.1-1305","Fourth Mexican",2,"USA","1915-3-15",NA,"1917-2-5",NA,NA,1,"CW-673","CW-727","CW-592",NA
"ECW2.1-1310","Southern China Revolt",710,"CHN","1916-1-1",NA,"1918-11-17",NA,1000,1,"CW-675","IW-408","CW-602",1545
"ECW2.1-1315","Russia-Turkestan",365,"RUS","1916-7-4",NA,"1917-2-27",NA,1350,1,"CW-676",NA,"CW-599",1530
"ECW2.1-1320","Russian Civil War",365,"RUS","1917-12-9",NA,"1921-3-18",NA,8e+05,1,"CW-677","CW-745","CW-600",1540
"ECW2.1-1320","Russian Civil War",200,"UKG","1918-6-23",NA,"1920-3-15",NA,350,1,"CW-677","CW-745","CW-600",1540
"ECW2.1-1320","Russian Civil War",220,"FRN","1918-6-23",NA,"1919-9-30",NA,50,1,"CW-677","CW-745","CW-600",1540
"ECW2.1-1320","Russian Civil War",2,"USA","1918-7-1",NA,"1920-4-20",NA,275,1,"CW-677","CW-745","CW-600",1540
"ECW2.1-1320","Russian Civil War",740,"JPN","1918-8-3",NA,"1920-10-15",NA,1500,1,"CW-677","CW-745","CW-600",1540
"ECW2.1-1320","Russian Civil War",375,"FIN","1919-4-15",NA,"1919-4-30",NA,50,1,"CW-677","CW-745","CW-600",1540
"ECW2.1-1325","Finnish Civil War",365,"RUS","1918-1-28",NA,"1918-5-16",NA,NA,1,"CW-680","CW-746","CW-603",NA
"ECW2.1-1325","Finnish Civil War",375,"FIN","1918-1-28",NA,"1918-4-30",NA,13800,1,"CW-680","CW-746","CW-603",1550
"ECW2.1-1325","Finnish Civil War",255,"GMY","1918-4-3",NA,"1918-5-16",NA,NA,1,"CW-680","CW-746","CW-603",NA
"ECW2.1-1330","Caco Revolt",2,"USA","1918-10-17",NA,"1920-5-19",NA,2102,1,"ES-441",NA,"ES-406",5275
"ECW2.1-1335","Western Ukrainian",365,"RUS","1918-11-1",NA,"1919-2-13",NA,1000,4,"CW-681",NA,NA,NA
"ECW2.1-1345","Hungary's Red Terror",310,"HUN","1919-3-25",NA,"1920-2-15",NA,1500,2,"CW-683","CW-748","CW-604",1555
"ECW2.1-1350","Third British-Afghan",200,"UKG","1919-5-3",NA,"1919-8-8",NA,2136,3,"ES-442","IW-425","ES-408",5280
"ECW2.1-1355","First British-Waziristan",200,"UKG","1919-5-26",NA,"1920-3-15",NA,2400,1,"ES-443",NA,NA,NA
"ECW2.1-136","Burma-Assam War",775,"MYA","1819-01-01",NA,"1822-12-31",NA,26000,1,"NS-1502",NA,NA,NA
"ECW2.1-1360","Franco-Syrian",220,"FRN","1920-3-1",NA,"1920-8-7",NA,5000,1,"ES-444","IW-410","ES-409",5285
"ECW2.1-1365","Iraqi-British",200,"UKG","1920-6-5",NA,"1920-10-17",NA,9540,1,"ES-445","IW-411","ES-410",5290
"ECW2.1-1375","Green Rebellion",365,"RUS","1920-8-1",NA,"1921-8-15",NA,6700,1,"CW-686",NA,NA,NA
"ECW2.1-1380","Gilan Marxists",365,"RUS","1920-8-10",NA,"1921-11-11",NA,750,1,"CW-687",NA,NA,NA
"ECW2.1-1380","Gilan Marxists",630,"IRN","1920-8-10",NA,"1921-11-11",NA,750,1,"CW-687",NA,NA,NA
"ECW2.1-1390","Conquest of Mongolia",710,"CHN","1920-10-10",NA,"1921-8-22",NA,5000,1,"ES-446",NA,NA,NA
"ECW2.1-1390","Conquest of Mongolia",365,"RUS","1921-5-28",NA,"1921-8-22",NA,NA,1,"ES-446",NA,NA,NA
"ECW2.1-1395","Kronstadt Rebellion",365,"RUS","1921-3-7",NA,"1921-3-18",NA,2600,1,"CW-690",NA,NA,NA
"ECW2.1-140","Ottoman Conquest of Sudan",640,"TUR","1820-1-1",NA,"1821-6-15",NA,6500,1,"ES-307",NA,NA,NA
"ECW2.1-1400","Rif Rebellion",230,"SPN","1921-6-28",NA,"1926-5-27",NA,60000,1,"ES-449","IW-412","ES-413",5300
"ECW2.1-1400","Rif Rebellion",220,"FRN","1925-4-12",NA,"1926-5-27",NA,4000,1,"ES-449","IW-412","ES-413",5300
"ECW2.1-1405","Moplah Rebellion",200,"UKG","1921-8-20",NA,"1922-2-15",NA,2450,1,"ES-450",NA,"ES-414",5305
"ECW2.1-141","Buenos Aires War",160,"ARG","1820-01-08",NA,"1820-02-23",NA,1000,2,"NS-1503",NA,NA,NA
"ECW2.1-1410","Bashmachi in Turkestan",365,"RUS","1921-11-10",NA,"1923-7-15",NA,3500,1,"CW-691",NA,"CW-605",1560
"ECW2.1-1420","Italian-Sanusi",325,"ITA","1923-3-23",NA,"1931-9-12",NA,40000,1,"ES-447","IW-413","ES-412",5295
"ECW2.1-1425","Agrarian Rising",355,"BUL","1923-9-23",NA,"1923-9-28",NA,3000,1,"CW-693",NA,"CW-608",1570
"ECW2.1-1430","De La Huerta Rebellion",70,"MEX","1923-12-4",NA,"1924-2-15",NA,7000,1,"CW-695",NA,"CW-607",1565
"ECW2.1-1435","Honduran Conservative",91,"HON","1924-2-9",NA,"1924-3-31",NA,1000,2,"CW-696","CW-751","CW-609",1575
"ECW2.1-1440","First Afghan Anti-Reform",700,"AFG","1924-3-15",NA,"1925-1-15",NA,1500,1,"CW-697","CW-754","CW-610",1580
"ECW2.1-1445","Franco-Druze",220,"FRN","1925-7-18",NA,"1927-5-27",NA,6000,1,"ES-451","IW-415","ES-416",5310
"ECW2.1-145","Sidon-Damascus",640,"TUR","1820-6-1",NA,"1821-7-21",NA,1000,2,"CW-501",NA,NA,NA
"ECW2.1-1450","Third Chinese Warlord",710,"CHN","1925-10-15",NA,"1926-4-20",NA,NA,2,"CW-698",NA,NA,NA
"ECW2.1-1455","Chinese Northern Expedition",710,"CHN","1926-7-1",NA,"1928-6-30",NA,126000,2,"CW-700","IW-416","CW-615",1600
"ECW2.1-1455","Chinese Northern Expedition",740,"JPN","1927-6-1",NA,"1928-6-1",NA,NA,2,"CW-700","IW-416","CW-615",1600
"ECW2.1-1460","Cristeros Revolt",70,"MEX","1926-8-31",NA,"1929-6-21",NA,10000,3,"CW-701","CW-760","CW-613",1590
"ECW2.1-1465","Second Gansu Muslim",710,"CHN","1928-1-1",NA,"1930-12-15",NA,NA,1,"CW-703",NA,NA,NA
"ECW2.1-1470","Ethiopian Northern Resistance",530,"ETH","1928-8-1",NA,"1930-4-15",NA,200,1,"CW-702",NA,NA,NA
"ECW2.1-1475","Second Afghan Anti-Reform",700,"AFG","1928-11-10",NA,"1929-10-15",NA,15000,1,"CW-705","CW-763","CW-614",1595
"ECW2.1-1480","Intra-Guomindang",710,"CHN","1929-3-1",NA,"1930-11-4",NA,75000,1,"CW-706","CW-766","CW-612",1615
"ECW2.1-1485","Escobar Rebellion",70,"MEX","1929-3-3",NA,"1929-5-4",NA,2000,1,"CW-707",NA,"CW-617",1605
"ECW2.1-1490","Ikhwan Revolt",670,"SAU","1929-3-30",NA,"1930-1-10",NA,5500,1,"CW-708",NA,"CW-618",1610
"ECW2.1-1495","Yen Bai Uprising",220,"FRN","1930-2-9",NA,"1931-12-15",NA,1001,1,"ES-452",NA,NA,NA
"ECW2.1-150","First Two Sicilies",329,"SIC","1820-7-2",NA,"1821-3-23",NA,2000,1,"CW-502","CW-602","CW-501",1015
"ECW2.1-150","First Two Sicilies",300,"AUH","1821-3-1",NA,"1821-3-23",NA,NA,1,"CW-502","CW-602","CW-501",1015
"ECW2.1-1500","Chinese Civil War, Phase 1",710,"CHN","1930-11-15",NA,"1936-12-31",NA,5e+05,6,"CW-710","CW-769","CW-620",1620
"ECW2.1-1505","Saya San's Rebellion",200,"UKG","1930-12-22",NA,"1932-6-15",NA,1140,1,"ES-453",NA,"ES-417",5315
"ECW2.1-151","Siam-Kedah War",800,"THI","1821-11-01",NA,"1821-12-31",NA,21000,1,"NS-1506",NA,NA,NA
"ECW2.1-1510","Xinjiang Muslim Revolt",710,"CHN","1931-2-1",NA,"1934-7-7",NA,20000,1,"CW-711",NA,NA,NA
"ECW2.1-1510","Xinjiang Muslim Revolt",365,"RUS","1934-1-1",NA,"1934-8-15",NA,NA,1,"CW-711",NA,NA,NA
"ECW2.1-1515","Matanza",92,"SAL","1932-1-20",NA,"1932-1-29",NA,2600,1,"CW-712","CW-771","CW-623",1630
"ECW2.1-1520","Aprista Revolt",135,"PER","1932-5-7",NA,"1932-7-17",NA,1100,1,"CW-713",NA,"CW-624",1635
"ECW2.1-1525","Paulista Rebellion",140,"BRA","1932-6-9",NA,"1932-8-31",NA,1000,1,"CW-715","CW-772","CW-625",1640
"ECW2.1-1530","Fukien Revolt",710,"CHN","1934-1-5",NA,"1934-1-15",NA,NA,1,"CW-716",NA,NA,NA
"ECW2.1-1535","Spanish Miners",230,"SPN","1934-10-4",NA,"1934-10-8",NA,1335,1,"CW-717","CW-775","CW-628",1650
"ECW2.1-1540","British-Palestinian",200,"UKG","1936-4-20","1937-8-1","1936-10-15","1939-1-15",2576,1,"ES-454",NA,"ES-418",5320
"ECW2.1-1545","Spanish Civil War",230,"SPN","1936-7-18",NA,"1939-3-29",NA,460000,2,"CW-718","CW-778","CW-629",1655
"ECW2.1-1545","Spanish Civil War",325,"ITA","1936-7-30",NA,"1939-3-29",NA,NA,2,"CW-718","CW-778","CW-629",NA
"ECW2.1-1545","Spanish Civil War",235,"POR","1936-8-1",NA,"1939-3-29",NA,NA,2,"CW-718","CW-778","CW-629",NA
"ECW2.1-1545","Spanish Civil War",255,"GMY","1936-8-27",NA,"1939-3-29",NA,NA,2,"CW-718","CW-778","CW-629",NA
"ECW2.1-1550","Second British-Waziristan",200,"UKG","1936-11-25",NA,"1938-1-8",NA,10200,1,"ES-455",NA,"ES-418",5320
"ECW2.1-1555","Greek Civil War",350,"GRC","1944-12-3","1946-2-12","1945-2-12","1949-10-16",67970,1,"CW-720","CW-781","CW-630",1660
"ECW2.1-1555","Greek Civil War",200,"UKG","1944-12-5",NA,"1945-1-11",NA,135,1,"CW-720","CW-781","CW-630",1660
"ECW2.1-1560","Polish Ukrainians",290,"POL","1945-5-8",NA,"1947-11-18",NA,19700,1,"CW-721",NA,NA,NA
"ECW2.1-1560","Polish Ukrainians",365,"RUS","1945-5-8",NA,"1947-11-18",NA,NA,1,"CW-721",NA,NA,NA
"ECW2.1-1565","Ukrainian Partisans",365,"RUS","1945-5-8",NA,"1947-12-31",NA,35000,1,"CW-722",NA,NA,NA
"ECW2.1-1570","Forest Brethren",365,"RUS","1945-5-8",NA,"1951-12-31",NA,32400,1,"CW-723",NA,NA,NA
"ECW2.1-1575","Indonesian",200,"UKG","1945-11-10",NA,"1946-10-15",NA,1000,3,"ES-456","IW-418","ES-420",5325
"ECW2.1-1575","Indonesian",210,"NTH","1945-11-10",NA,"1946-10-15",NA,4400,3,"ES-456","IW-418","ES-420",5325
"ECW2.1-1580","Chinese Civil War, Phase 2",710,"CHN","1946-3-15",NA,"1950-4-21",NA,1200000,2,"CW-725","CW-784","CW-632",1665
"ECW2.1-1585","French-Indochina",220,"FRN","1946-11-20",NA,"1954-6-1",NA,269500,2,"ES-457","IW-421","ES-412",5330
"ECW2.1-1590","Taiwan Revolt",710,"CHN","1947-2-28",NA,"1947-3-21",NA,1250,1,"CW-726","CW-788","CW-634",1675
"ECW2.1-1595","Paraguay",150,"PAR","1947-3-7",NA,"1947-8-20",NA,1000,1,"CW-727","CW-787","CW-633",1670
"ECW2.1-160","Sardinian Revolt",300,"AUH","1821-3-10",NA,"1821-5-8",NA,NA,1,"CW-505","CW-603","CW-503",1030
"ECW2.1-160","Sardinian Revolt",325,"ITA","1821-3-10",NA,"1821-5-8",NA,1000,1,"CW-505","CW-603","CW-503",1030
"ECW2.1-1600","Third Franco-Madagascan",220,"FRN","1947-3-29",NA,"1948-12-1",NA,12200,1,"ES-459","IW-424","ES-422",5335
"ECW2.1-1605","Yemeni Imamate",678,"YEM","1948-2-17",NA,"1948-3-20",NA,4000,1,"CW-728","CW-790","CW-635",1680
"ECW2.1-1610","Costa Rica",94,"COS","1948-3-12",NA,"1948-4-17",NA,2000,2,"CW-730","CW-793","CW-637",1685
"ECW2.1-1615","Seventh Colombian La Violencia",100,"COL","1948-4-9",NA,"1958-8-7",NA,29800,1,"CW-731","CW-796","CW-638",1690
"ECW2.1-1620","Malayan Rebellion",200,"UKG","1948-6-18",NA,"1957-8-31",NA,9100,1,"ES-460","IW-429","ES-424",5340
"ECW2.1-1625","First Burmese",775,"MYA","1948-8-15",NA,"1951-7-31",NA,8000,1,"CW-732","CW-799","CW-639",1695
"ECW2.1-1626","Cheju Rebellion",732,"ROK","1848-09-09",NA,"1849-05-31",NA,17000,1,"NS-",NA,NA,NA
"ECW2.1-1630","Indo-Hyderabad",750,"IND","1948-9-13",NA,"1948-9-17",NA,1210,1,"ES-461","IW-430","ES-425",5345
"ECW2.1-1635","South Moluccas",850,"INS","1950-5-31",NA,"1950-11-3",NA,5000,1,"CW-733","CW-805","CW-641",1705
"ECW2.1-1640","Hukbalahap Rebellion",840,"PHI","1950-9-1",NA,"1954-5-15",NA,11300,1,"CW-735","CW-808","CW-642",1710
"ECW2.1-1645","Franco-Tunisian",220,"FRN","1952-1-18",NA,"1954-7-31",NA,3000,2,"ES-463","IW-444","ES-428",5350
"ECW2.1-165","Greek Independence",640,"TUR","1821-3-25",NA,"1828-4-25",NA,9000,4,"CW-506","IW-304","CW-504",1035
"ECW2.1-165","Greek Independence",200,"UKG","1827-10-20",NA,"1827-10-27",NA,NA,4,"CW-506","IW-304","CW-504",1035
"ECW2.1-165","Greek Independence",220,"FRN","1827-10-20",NA,"1827-10-27",NA,NA,4,"CW-506","IW-304","CW-504",1035
"ECW2.1-165","Greek Independence",365,"RUS","1827-10-20",NA,"1828-4-25",NA,NA,4,"CW-506","IW-304","CW-504",1035
"ECW2.1-1650","Bolivia",145,"BOL","1952-4-8",NA,"1952-4-11",NA,1500,2,"CW-737","CW-811","CW-643",1715
"ECW2.1-1655","British-Mau Mau",200,"UKG","1952-10-20",NA,"1956-10-15",NA,17100,1,"ES-464","IW-432","ES-429",5355
"ECW2.1-1660","Moroccan Independence",220,"FRN","1953-8-20",NA,"1956-3-12",NA,3000,2,"ES-465","IW-435","ES-430",5360
"ECW2.1-1665","Indonesia Darul Islam",850,"INS","1953-9-20",NA,"1953-11-23",NA,2700,1,"CW-738","CW-814","CW-644",1720
"ECW2.1-1670","Third Franco-Algerian",220,"FRN","1954-11-1",NA,"1962-3-17",NA,32000,2,"ES-466","IW-433","ES-432",5365
"ECW2.1-1675","Argentine Military",160,"ARG","1955-6-15",NA,"1955-9-19",NA,3000,2,"CW-740","CW-820","CW-647",1730
"ECW2.1-1680","Tibetan Khamba Rebellion",710,"CHN","1956-3-1",NA,"1959-4-14",NA,16000,1,"CW-741","IW-436","CW-648",1735
"ECW2.1-1685","Indonesian Leftists",850,"INS","1956-12-15",NA,"1962-6-4",NA,27200,1,"CW-742","CW-823","CW-649",1740
"ECW2.1-1695","French-Cameroon",220,"FRN","1957-1-1",NA,"1958-1-5",NA,1900,1,"ES-467","IW-434","ES-433",5370
"ECW2.1-170","Second Bolivar Expedition",230,"SPN","1821-4-28",NA,"1822-5-24",NA,1500,2,"ES-308",NA,NA,NA
"ECW2.1-1700","First Lebanese",660,"LEB","1958-5-9",NA,"1958-9-15",NA,1400,1,"CW-743","CW-826","CW-650",1745
"ECW2.1-1700","First Lebanese",2,"USA","1958-7-16",NA,"1958-9-15",NA,NA,1,"CW-743","CW-826","CW-650",1745
"ECW2.1-1705","Cuban Revolution",40,"CUB","1958-5-24",NA,"1959-1-2",NA,3000,2,"CW-745","CW-829","CW-652",1750
"ECW2.1-1710","Second Burmese",775,"MYA","1958-11-1",NA,"1960-4-15",NA,3150,7,"CW-746",NA,NA,NA
"ECW2.1-1715","Iraq-Shammar",645,"IRQ","1959-3-6",NA,"1959-3-10",NA,2000,1,"CW-747","CW-832","CW-653",1755
"ECW2.1-1725","Vietnam Phase 1",817,"RVN","1960-1-1",NA,"1965-2-6",NA,100200,4,"CW-748","CW-835","CW-654",1770
"ECW2.1-1725","Vietnam Phase 1",2,"USA","1961-1-1",NA,"1965-2-6",NA,2000,4,"CW-748","CW-835","CW-654",1770
"ECW2.1-1730","First DRC (Zaire)",211,"BEL","1960-7-11",NA,"1960-9-14",NA,50,1,"CW-750","CW-838","CW-655",NA
"ECW2.1-1730","First DRC (Zaire)",490,"DRC","1960-7-4",NA,"1963-1-14",NA,9000,1,"CW-750","CW-838","CW-655",1775
"ECW2.1-1735","First Laotian",812,"LAO","1960-10-15",NA,"1962-7-15",NA,5000,3,"CW-751","CW-841","CW-657",1780
"ECW2.1-1735","First Laotian",816,"DRV","1961-5-1",NA,"1962-6-15",NA,NA,3,"CW-751","CW-841","CW-657",NA
"ECW2.1-1740","Angolan-Portuguese",235,"POR","1961-2-3",NA,"1974-10-14",NA,29000,4,"ES-469","IW-438","ES-434",5375
