warid	warname	statenum	stateacr	sdate1	edate1	sdate2	edate2	newcow	cow94	cow00	oldwid	deaths	intnl	outcome
ECW2.1-165	Greek Independence	640	TUR	1821-3-25	1828-4-25	NA	NA	CW-506	IW-304	CW-504	1035	9000	1	4
ECW2.1-165	Greek Independence	200	UKG	1827-10-20	1827-10-27	NA	NA	CW-506	IW-304	CW-504	1035	NA	1	4
ECW2.1-165	Greek Independence	220	FRN	1827-10-20	1827-10-27	NA	NA	CW-506	IW-304	CW-504	1035	NA	1	4
ECW2.1-165	Greek Independence	365	RUS	1827-10-20	1828-4-25	NA	NA	CW-506	IW-304	CW-504	1035	NA	1	4
ECW2.1-170	Second Bolivar Expedition	230	SPN	1821-4-28	1822-5-24	NA	NA	ES-308	NA	NA	NA	1500	NA	2
ECW2.1-175	Spanish Royalists	230	SPN	1821-12-1	1823-4-6	NA	NA	CW-503	CW-601	CW-502	1020	7000	0	4
ECW2.1-190	First British-Ashanti	200	UKG	1824-1-20	1826-8-7	NA	NA	ES-311	IW-309	ES-306	5015	6400	NA	1
ECW2.1-195	Liberation of Peru	230	SPN	1824-2-4	1825-4-2	NA	NA	ES-312	NA	NA	NA	2400	NA	2
ECW2.1-200	Egypt-Mehdi	640	TUR	1824-3-20	1824-4-15	NA	NA	CW-507	NA	NA	NA	NA	0	1
ECW2.1-201	China-Kashgaria War	710	CHN	1825-01-01	1828-12-31	NA	NA	NS-1508	NA	NA	NA	20000	NA	1
ECW2.1-202	Mexico-Yaqui Indian War	775	MYA	1825-10-25	1827-04-13	NA	NA	NS-1509	NA	NA	NA	3000	NA	1
ECW2.1-205	Dutch - Javanese	210	NTH	1825-7-23	1830-3-28	NA	NA	ES-313	IW-310	ES-307	5020	215000	NA	1
ECW2.1-210	British-Bharatpuran	200	UKG	1825-11-23	1826-1-18	NA	NA	ES-314	IW-314	ES-309	5025	4900	NA	1
ECW2.1-211	Central American Confederation War	89	UPC	1826-01-01	1829-04-12	NA	NA	NS-1510	NA	NA	NA	3300	NA	2
ECW2.1-211	Viang Chan-Siamese War	800	THI	1826-01-01	1827-05-15	NA	NA	NS-1511	NA	NA	NA	31000	NA	1
ECW2.1-215	Janissari Revolt	640	TUR	1826-6-14	1826-9-30	NA	NA	CW-508	NA	CW-505	105	6300	0	1
ECW2.1-230	Miguelite War	235	POR	1828-7-11	1834-5-26	NA	NA	CW-510	CW-607	CW-507	1070	20000	1	2
ECW2.1-230	Miguelite War	200	UKG	1831-7-1	1834-5-26	NA	NA	CW-510	CW-607	CW-507	NA	NA	1	2
ECW2.1-231	Argentine War for Unity	160	ARG	1829-04-26	1831-11-30	NA	NA	NS-1513	NA	NA	NA	4004	NA	2
ECW2.1-232	Sayyid Said War	698	OMA	1829-12-18	1830-05-09	NA	NA	NS-1514	NA	NA	NA	1000	NA	1
ECW2.1-245	First Murid War	365	RUS	1830-1-1	1832-10-17	NA	NA	CW-511	IW-317	CW-508	1080	1500	0	1
ECW2.1-250	First Albanian Revolt	640	TUR	1830-2-1	1831-11-15	NA	NA	CW-512	IW-312	CW-511	1095	15000	0	1
ECW2.1-255	First French Insurrection	220	FRN	1830-7-25	1830-7-29	NA	NA	CW-513	CW-610	CW-510	1090	2200	0	2
ECW2.1-260	Belgian Independence	210	NTH	1830-8-25	1830-11-4	NA	NA	CW-515	IW-315	CW-509	1085	1100	0	2
ECW2.1-261	China-Kokand War	710	CHN	1819-01-01	1822-12-31	NA	NA	NS-1515	NA	NA	NA	6667	NA	1
ECW2.1-265	Egyptian Taka Expedition	640	TUR	1831-1-1	1832-12-15	NA	NA	CW-516	NA	NA	NA	1500	0	2
ECW2.1-275	First Polish	365	RUS	1831-2-7	1831-10-18	NA	NA	CW-517	IW-316	CW-508	1100	35000	0	1
ECW2.1-280	First Syrian	640	TUR	1831-10-1	1832-12-27	NA	NA	CW-518	IW-319	CW=513	1105	12000	0	2
ECW2.1-285	First Mexican	70	MEX	1832-1-2	1832-12-11	NA	NA	CW-520	CW-613	CW-514	1115	4000	0	2
ECW2.1-290	Ottoman-Bilmez-Asiri War	640	TUR	1832-6-1	1837-12-15	NA	NA	ES-320	IW-319	CW-513	1105	NA	NA	1
ECW2.1-291	Argentina-Ranqueles Indian War	160	ARG	1833-03-16	1834-03-25	NA	NA	NS-1518	NA	NA	NA	6000	NA	1
ECW2.1-300	Egypt- Palestinian Anti-Conscription Revolt	640	TUR	1834-4-19	1834-10-15	NA	NA	CW-521	NA	NA	NA	2000	0	2
ECW2.1-305	First Carlist War	230	SPN	1834-7-15	1840-7-15	NA	NA	CW-522	CW-616	CW-515	1125	125000	1	1
ECW2.1-305	First Carlist War	200	UKG	1835-7-10	1837-9-1	NA	NA	CW-522	CW-616	CW-515	1125	2479	1	1
ECW2.1-305	First Carlist War	235	POR	1835-10-15	1836-2-15	NA	NA	CW-522	CW-616	CW-515	1125	50	1	1
ECW2.1-305	First Carlist War	220	FRN	1835-10-31	1839-1-17	NA	NA	CW-522	CW-616	CW-515	1125	7700	1	1
ECW2.1-310	Second Murid	365	RUS	1834-9-26	1834-10-27	NA	NA	CW-523	IW-317	CW-508	1080	NA	0	7
ECW2.1-315	Cabanos Revolt	140	BRA	1835-1-6	1837-5-15	NA	NA	CW-525	NA	NA	NA	NA	0	1
ECW2.1-320	Farroupilha War	140	BRA	1835-9-19	1845-3-1	NA	NA	CW-526	NA	CW-516	1130	10000	0	1
ECW2.1-325	Texan	70	MEX	1835-10-1	1836-4-22	NA	NA	CW-527	IW-322	CW-517	1135	2200	0	2
ECW2.1-330	First Bosnian	640	TUR	1836-1-1	1837-12-15	NA	NA	CW-528	IW-323	CW-518	1140	1000	0	1
ECW2.1-335	Third Murid	365	RUS	1836-7-1	1852-12-15	NA	NA	CW-530	IW-317	CW-508	1080	15000	0	1
ECW2.1-340	Druze Rebellion	640	TUR	1837-9-27	1838-8-22	NA	NA	CW-532	NA	NA	NA	15000	0	1
ECW2.1-345	Sabinada Rebellion	140	BRA	1837-11-7	1838-3-13	NA	NA	CW-531	NA	NA	NA	1800	0	1
ECW2.1-350	First British-Zulu	200	UKG	1838-4-17	1838-04-30	NA	NA	ES-321	IW-324	ES-311	5030	800	NA	2
ECW2.1-355	Second Syrian	640	TUR	1839-6-10	1839-6-24	NA	NA	CW-533/CW-537	IW-328	CW-519	1145	3000	0	2
ECW2.1-355	Second Syrian, Phase 2	200	UKG	1840-9-9	1840-11-27	NA	NA	CW-533/CW-537	IW-328	CW-519	1145	10	1	1
ECW2.1-360	Lebanon Insurgency	640	TUR	1840-5-27	1840-7-13	NA	NA	CW-535	NA	NA	NA	4500	0	2
ECW2.1-365	First Colombian	100	COL	1840-7-15	1842-7-15	NA	NA	CW-536	CW-619	CW-521	1150	4000	0	2
ECW2.1-375	Second Bosnian	640	TUR	1841-1-1	1841-12-15	NA	NA	CW-540	IW-333	CW-523	1160	2000	0	1
ECW2.1-380	First Argentina War	160	ARG	1839-02-24	1842-12-6	NA	NA	CW-538/NS-1527	CW-622	CW-522	1155	6300	0	1
ECW2.1-385	Triangular Revolt	70	MEX	1841-9-4	1841-10-6	NA	NA	CW-541	NA	NA	NA	NA	0	2
ECW2.1-390	Karbala Revolt	640	TUR	1842-12-19	1843-1-13	NA	NA	CW-542	NA	NA	NA	4600	0	1
ECW2.1-395	British-Sind	200	UKG	1843-1-6	1843-6-14	NA	NA	ES-326	NA	NA	NA	4200	NA	1
ECW2.1-400	Gwalior	200	UKG	1843-12-28	1843-12-29	NA	NA	ES-329	NA	NA	NA	1436	NA	1
ECW2.1-410	First British-Sikh	200	UKG	1845-12-13	1846-2-10	NA	NA	ES-331	IW-337	ES-322	5045	8500	NA	1
ECW2.1-415	Cracow Revolt	255	GMY	1846-2-1	1846-3-3	NA	NA	ES-332	IW-339	ES-325	NA	NA	NA	1
ECW2.1-415	Cracow Revolt	365	RUS	1846-2-1	1846-3-3	NA	NA	ES-332	IW-339	ES-325	NA	NA	NA	1
ECW2.1-415	Cracow Revolt	300	AUH	1846-2-15	1846-3-3	NA	NA	ES-332	IW-339	ES-325	5055	2000	NA	1
ECW2.1-420	First British-Xhosa	200	UKG	1846-4-16	1847-12-23	NA	NA	ES-333	IW-338	ES-323	5050	3000	NA	1
ECW2.1-430	Mayan Caste War	70	MEX	1847-1-15	1855-03-04	NA	NA	CW-545/CW-553	NA	NA	NA	301800	0	4
ECW2.1-431	War of  Seven Khojas	710	CHN	1847-01-01	1848-01-31	NA	NA	NS-1533	NA	NA	NA	1000	NA	1
ECW2.1-435	Second Carlist	230	SPN	1847-5-15	1849-5-1	NA	NA	CW-546	CW-625	CW-524	1165	10000	0	1
ECW2.1-440	Second Two Sicilies	329	SIC	1848-1-12	1848-1-27	1848-5-15	1849-5-15	CW-547	CW-628	CW-527	1180	1000	0	1
ECW2.1-445	First Venezuelan	101	VEN	1848-2-4	1849-8-15	NA	NA	CW-548	NA	NA	NA	NA	0	1
ECW2.1-450	Viennese Revolt	300	AUH	1848-3-13	1848-10-31	NA	NA	CW-550	CW-634	CW-529	1190	3249	0	1
ECW2.1-455	Milan Five Day Revolt	300	AUH	1848-3-18	1848-3-23	NA	NA	CW-551	NA	NA	NA	1030	0	4
ECW2.1-460	First Dutch-Bali	210	NTH	1848-4-12	1848-6-21	1849-4-2	1849-6-14	ES-334	NA	NA	NA	2300	NA	6
ECW2.1-465	Second British-Sikh	200	UKG	1848-5-18	1849-3-10	NA	NA	ES-335	IW-343	ES-326	5060	6500	NA	1
ECW2.1-470	Second French Insurrection	220	FRN	1848-6-23	1848-6-26	NA	NA	CW-552	CW-631	CW-528	1185	2800	0	1
ECW2.1-480	Hungarian	300	AUH	1848-9-9	1849-8-13	NA	NA	CW-554	IW-340	CW-530	1195	66000	1	1
ECW2.1-480	Hungarian	365	RUS	1849-7-16	1849-8-13	NA	NA	CW-554	IW-340	CW-530	1195	14500	1	1
ECW2.1-485	Chinese Pirates	200	UKG	1849-10-20	1849-10-22	NA	NA	ES-336	NA	NA	NA	2800	NA	1
ECW2.1-490	Second British-Xhosa	200	UKG	1850-12-24	1852-4-8	NA	NA	ES-337	NA	NA	NA	7400	NA	1
ECW2.1-491	Ethiopia-Mahdi War	530	ETH	1885-05-01	1889-03-12	NA	NA	NS-1559	NA	NA	NA	30000	NA	2
ECW2.1-495	Ottoman-Yam	640	TUR	1851-4-21	1851-7-9	NA	NA	ES-338	NA	NA	NA	NA	NA	1
ECW2.1-500	First Chilean	155	CHL	1851-9-5	1851-12-15	NA	NA	CW-555	CW-637	CW-532	1205	4000	0	1
ECW2.1-505	First Turco-Montenegrin	640	TUR	1852-12-2	1853-3-13	NA	NA	CW-556	IW-346	CW-533	1210	5000	0	2
ECW2.1-510	First Peru	135	PER	1853-12-21	1855-1-7	NA	NA	CW-557	CW-640	CW-534	1215	4000	0	2
ECW2.1-515	French-Tukulor War	220	FRN	1854-1-1	1857-7-15	NA	NA	ES-340	IW-347	ES-334	5080	2100	NA	6
ECW2.1-525	British-Santal	200	UKG	1855-1-1	1856-12-15	NA	NA	ES-341	NA	ES-330	5070	15000	NA	1
ECW2.1-535	Puebla War	70	MEX	1855-12-11	1856-3-21	NA	NA	CW-558	NA	NA	NA	3600	0	1
ECW2.1-540	Hodeida Seige	640	TUR	1856-1-22	1856-2-22	NA	NA	ES-342	NA	NA	NA	16700	NA	6
ECW2.1-545	French Conquest of Kabylia	220	FRN	1856-5-17	1857-12-15	NA	NA	ES-345	IW-350	ES-333	5075	1000	NA	1
ECW2.1-550	Second Peru	135	PER	1856-10-31	1858-3-7	NA	NA	CW-560	CW-643	CW-535	1230	3000	0	1
ECW2.1-551	Kucha and Khoja Uprising	710	CHN	1857-01-01	1857-09-30	NA	NA	NS-1543	NA	NA	NA	2500	NA	1
ECW2.1-560	Indian Mutiny	200	UKG	1857-5-10	1859-4-7	NA	NA	ES-347	IW-349	ES-335	5085	22500	NA	1
ECW2.1-561	First Boer-Basuto War	564	OFS	1858-01-01	1858-12-31	NA	NA	NS-1544	NA	NA	NA	1200	NA	6
ECW2.1-562	First Ethiopian War	530	ETH	1858-01-01	1861-01-31	NA	NA	NS-1545	NA	NA	NA	2000	NA	1
ECW2.1-565	Mexican Reform	70	MEX	1858-2-15	1861-1-1	NA	NA	CW-561	CW-646	CW-537	1240	8000	0	4
ECW2.1-570	Second Turco-Montenegrin	640	TUR	1858-5-4	1859-6-1	NA	NA	CW-562	IW-352	CW-538	1245	4400	0	2
ECW2.1-575	Second Venezuelan/Federalist	101	VEN	1859-2-1	1863-5-23	NA	NA	CW-563	CW-649	CW-539	1250	20000	0	2
ECW2.1-580	Netherlands-Bone	210	NTH	1859-2-20	1860-1-20	NA	NA	ES-350	NA	NA	NA	1000	NA	1
ECW2.1-585	Argentine-Buenos Aires	160	ARG	1859-5-29	1859-10-23	NA	NA	ES-351	IW-353	ES-338	5090	1000	NA	1
ECW2.1-590	Garibaldi Expedition	329	SIC	1860-5-11	1860-10-14	NA	NA	ES-352	NA	NA	NA	6000	NA	4
ECW2.1-595	Second Colombian	100	COL	1860-5-15	1861-7-18	NA	NA	CW-565	CW-655	CW-544	1270	2500	0	2
ECW2.1-605	Taiping Rebellion	710	CHN	1850-12-01	1866-2-9	NA	NA	CW-567/NS-1534	CW-652	CW-540	1255	111000	1	1
ECW2.1-605	Taiping Rebellion	200	UKG	1862-3-1	1862-8-1	NA	NA	CW-567/NS-1534	CW-652	CW-540	1255	25	1	1
ECW2.1-610	Second Nien Revolt	710	CHN	1860-10-25	1868-8-16	NA	NA	CW-568	CW-653	CW-542	1260	75000	0	1
ECW2.1-615	Han-Miao War	710	CHN	1854-03-25	1872-5-1	NA	NA	CW-570/NS-1537	CW-654	CW-543	1265	75000	0	1
ECW2.1-620	Han-Panthay War	710	CHN	1856-05-19	1872-12-26	NA	NA	CW-571/NS-1541	NA	NA	NA	NA	0	1
ECW2.1-630	U.S. Civil War	2	USA	1861-4-10	1865-4-9	NA	NA	CW-572	CW-658	CW-545	1275	618000	0	1
ECW2.1-635	Third Buenos Aires	160	ARG	1861-8-20	1861-12-2	NA	NA	CW-573	IW-354	CW-547	1280	1000	0	2
ECW2.1-640	Third Turco-Montenegrin	640	TUR	1861-12-1	1862-8-31	NA	NA	CW-575	NA	CW-548	1290	3500	0	3
ECW2.1-641	Transvaal War	563	TRA	1862-04-01	1864-01-31	NA	NA	NS-1548	NA	NA	NA	6000	NA	1
ECW2.1-650	Tungan Rebellion	710	CHN	1862-5-1	1873-10-24	NA	NA	CW-576	NA	NA	NA	NA	0	1
ECW2.1-655	Sioux-Minnesota	2	USA	1862-8-17	1862-9-26	NA	NA	CW-577	NA	NA	NA	1068	0	2
ECW2.1-660	Bolivan Perez Rebellion	145	BOL	1862-9-15	1862-9-15	NA	NA	CW-578	NA	NA	NA	1000	0	1
ECW2.1-670	Second Polish	365	RUS	1863-1-22	1864-4-19	NA	NA	CW-580	IW-355	CW-550	1300	16500	0	1
ECW2.1-675	Second Argentina	160	ARG	1863-4-2	1863-11-12	NA	NA	CW-581	CW-661	CW-551	1305	1000	0	1
ECW2.1-680	British-Maori	200	UKG	1863-6-4	1866-1-14	NA	NA	ES-355	IW-356	ES-339	5095	2700	NA	1
ECW2.1-685	Shimonoseki War	2	USA	1863-6-25	1864-9-7	NA	NA	ES-356	NA	NA	NA	1005	NA	1
ECW2.1-685	Shimonoseki War	220	FRN	1863-6-25	1864-9-7	NA	NA	ES-356	NA	NA	NA	NA	NA	1
ECW2.1-685	Shimonoseki War	200	UKG	1864-7-5	1864-9-7	NA	NA	ES-356	NA	NA	NA	NA	NA	1
ECW2.1-685	Shimonoseki War	210	NTH	1864-7-5	1864-9-7	NA	NA	ES-356	NA	NA	NA	NA	NA	1
ECW2.1-690	British Umbeyla Campaign	200	UKG	1863-10-20	1863-12-21	NA	NA	ES-357	NA	NA	NA	2400	NA	1
ECW2.1-695	Russian-Kokand	365	RUS	1864-4-24	1865-6-17	NA	NA	ES-359	NA	NA	NA	1620	NA	1
ECW2.1-700	Xinjiang Muslim Revolt	710	CHN	1864-7-1	1871-7-3	NA	NA	CW-582	NA	NA	NA	250000	1	2
ECW2.1-700	Xinjiang Muslim Revolt	365	RUS	1871-6-24	1871-7-3	NA	NA	CW-582	NA	NA	NA	250000	1	2
ECW2.1-705	British-Bhutanese	200	UKG	1865-1-1	1865-11-11	NA	NA	ES-360	IW-359	ES-342	5100	1000	NA	1
ECW2.1-706	Second Boer-Basuto War	564	OFS	1865-06-09	1866-04-03	NA	NA	NS-1552	NA	NA	NA	1200	NA	1
ECW2.1-710	Russian-Bukharan	365	RUS	1866-1-12	1866-10-18	NA	NA	ES-361	NA	NA	NA	1100	NA	1
ECW2.1-715	First  Cretan	640	TUR	1866-5-29	1867-2-22	NA	NA	CW-583	IW-360	CW-554	1325	1000	0	1
ECW2.1-720	Yellow Cliff Revolt	710	CHN	1866-10-1	1866-10-09	NA	NA	CW-585	NA	NA	NA	NA	0	1
ECW2.1-725	Third Argentina	160	ARG	1866-12-15	1867-10-15	NA	NA	CW-586	CW-664	CW-553	1320	1000	0	1
ECW2.1-735	Queretaro	70	MEX	1867-2-6	1867-5-14	NA	NA	CW-587	NA	NA	NA	2500	0	2
ECW2.1-745	Meiji Restoration	740	JPN	1868-1-3	1868-7-4	NA	NA	CW-588	NA	NA	NA	3000	0	1
ECW2.1-750	Third Venezuelan	101	VEN	1868-1-11	1868-8-14	1869-8-14	1871-1-7	CW-590	CW-667	CW-555	1335	3000	0	2
ECW2.1-751	Second Ethiopian War	710	CHN	1868-04-13	1872-01-21	NA	NA	NS-1553	NA	NA	NA	35000	NA	2
ECW2.1-755	Spanish Liberals	230	SPN	1868-9-18	1868-9-29	NA	NA	CW-591	CW-670	CW-557	1340	1600	0	2
ECW2.1-760	First Spanish-Cuban	230	SPN	1868-10-10	1878-2-11	NA	NA	ES-363	IW-361	ES-345	5105	150000	NA	1
ECW2.1-765	Attack on Bahr el-Ghazal	651	EGY	1869-1-1	1870-12-15	NA	NA	ES-364	NA	NA	NA	1500	NA	2
ECW2.1-770	Guerre des Cacos	41	HAI	1869-2-1	1869-12-18	NA	NA	CW-592	NA	NA	NA	NA	0	2
ECW2.1-771	Uruguay Colorados-Blancos War	165	URU	1870-03-05	1872-04-06	NA	NA	NS-1554	NA	NA	NA	3000	NA	1
ECW2.1-775	Fourth Argentina	160	ARG	1870-5-20	1871-3-13	NA	NA	CW-593	CW-673	CW-558	1350	1500	0	1
ECW2.1-780	Bolivia-Criollos	145	BOL	1870-11-24	1871-1-15	NA	NA	CW-595	NA	NA	NA	1087	0	2
ECW2.1-785	Ottoman Conquest of Arabia	640	TUR	1870-11-30	1872-12-30	NA	NA	ES-365	NA	NA	NA	5500	NA	1
ECW2.1-790	Second Franco-Algerian	220	FRN	1871-3-1	1872-1-15	NA	NA	ES-366	IW-365	ES-346	5120	12686	NA	1
ECW2.1-795	Paris Commune	220	FRN	1871-4-2	1871-5-29	NA	NA	CW-596	CW-676	CW-560	1355	25879	0	1
ECW2.1-800	Third Carlist	230	SPN	1872-4-20	1876-2-20	NA	NA	CW-597	CW-679	CW-561	1360	50000	0	1
ECW2.1-805	Second British-Ashanti	200	UKG	1873-1-1	1874-2-4	NA	NA	ES-367	IW-362	ES-347	5110	1500	NA	1
ECW2.1-810	First Dutch-Achinese	210	NTH	1873-3-26	1878-10-13	NA	NA	ES-370	IW-364	ES-350	5115	23000	NA	1
ECW2.1-815	Cantonalist	230	SPN	1874-1-1	1875-1-15	NA	NA	CW-598	NA	NA	NA	2000	0	1
ECW2.1-820	Fifth Argentina	160	ARG	1874-9-1	1874-11-6	NA	NA	CW-600	IW-366	CW-562	1365	1000	0	1
ECW2.1-825	Bosnia & Bulgaria Revolt	640	TUR	1875-6-30	1876-6-29	NA	NA	CW-601	IW-367	CW-563	1370	9000	0	4
ECW2.1-830	Kokand Rebellion	365	RUS	1875-8-9	1876-2-28	NA	NA	ES-371	NA	NA	NA	4900	NA	1
ECW2.1-835	Egyptian-Ethiopian	651	EGY	1875-9-1	1876-3-9	NA	NA	ES-372	IW-368	ES-351	5125	8800	NA	2
ECW2.1-840	Diaz Revolt	70	MEX	1876-3-1	1876-11-23	NA	NA	CW-602	NA	CW-565	1380	1900	0	2
ECW2.1-845	Defeat of Xinjiang Muslims	710	CHN	1876-4-1	1877-12-1	NA	NA	CW-603	NA	CW-552	1315	3e+05	0	1
ECW2.1-850	Serbian-Turkish	640	TUR	1876-6-30	1877-4-23	NA	NA	ES-373	IW-367	CW-563	1370	5000	NA	4
ECW2.1-855	Third Colombian	100	COL	1876-7-26	1877-7-1	NA	NA	CW-605	CW-682	CW-567	1385	3870	0	1
ECW2.1-860	Satsuma Rebellion	740	JPN	1877-1-29	1877-9-24	NA	NA	CW-607	CW-685	CW-568	1390	17000	0	1
ECW2.1-865	Third British-Xhosa	200	UKG	1877-8-1	1878-6-15	NA	NA	ES-374	IW-371	ES-353	5130	3900	NA	1
ECW2.1-870	Egypt-Sudanese Slavers	651	EGY	1878-2-1	1879-7-15	NA	NA	ES-375	NA	NA	NA	4000	NA	1
ECW2.1-875	Russo-Turkoman	365	RUS	1878-5-1	1881-1-24	NA	NA	ES-376	IW-369	ES-354	5135	10000	NA	1
ECW2.1-880	Austrian-Bosnian	300	AUH	1878-7-29	1878-10-1	NA	NA	ES-377	IW-370	ES-355	5140	6000	NA	1
ECW2.1-885	Second British-Zulu	200	UKG	1879-1-11	1879-7-4	NA	NA	ES-380	IW-376	ES-358	5145	10500	NA	1
ECW2.1-890	Argentine Indians	160	ARG	1879-4-6	1880-7-8	NA	NA	CW-608	NA	NA	NA	1700	0	1
ECW2.1-895	Fourth Buenos Aires	160	ARG	1880-6-21	1880-7-21	NA	NA	CW-610	CW-688	CW-569	1395	1200	0	1
ECW2.1-900	Gun War	200	UKG	1880-9-1	1881-4-15	NA	NA	ES-381	IW-375	ES-359	5150	1000	NA	1
ECW2.1-905	Franco-Tunisian	220	FRN	1881-6-1	1882-4-4	NA	NA	ES-383	IW-378	ES-362	5155	10000	NA	1
ECW2.1-910	First British-Mahdi	200	UKG	1881-8-1	1885-3-22	NA	NA	ES-384	IW-382	ES-364	5160	42000	NA	2
ECW2.1-910	First British-Mahdi	651	EGY	1881-8-1	1882-9-15	NA	NA	ES-384	IW-382	ES-364	5160	NA	NA	2
ECW2.1-920	Haitian Civil War	41	HAI	1883-3-27	1884-1-8	NA	NA	CW-611	NA	NA	NA	8100	0	1
ECW2.1-921	Oman-Ibadi War	698	OMA	1883-10-01	1884-12-31	NA	NA	NS-1557	NA	NA	NA	1000	NA	1
ECW2.1-925	Fourth Colombian	100	COL	1884-11-15	1885-8-26	NA	NA	CW-612	CW-691	CW-570	1405	1000	0	1
ECW2.1-930	French-Mandinka	220	FRN	1885-1-1	1886-12-15	NA	NA	ES-389	IW-393	ES-368	5165	1000	NA	1
ECW2.1-940	Peru's National Problem	135	PER	1885-3-2	1885-5-25	NA	NA	CW-613	NA	NA	NA	2200	0	1
ECW2.1-945	Zambezi Conquest	235	POR	1888-1-1	1888-12-15	NA	NA	ES-393	NA	NA	NA	6000	NA	1
ECW2.1-950	First Franco-Dahomeyan	220	FRN	1890-3-1	1890-4-20	NA	NA	ES-394	IW-387	ES-373	5170	1000	NA	1
ECW2.1-955	Franco-Jolof	220	FRN	1890-4-1	1891-2-24	NA	NA	ES-395	IW-384	ES-375	5175	3100	NA	1
ECW2.1-960	First Yemen Rebellion	640	TUR	1890-4-1	1892-9-15	NA	NA	CW-616	NA	NA	NA	NA	0	1
ECW2.1-965	Second Chilean	155	CHL	1891-1-7	1891-8-29	NA	NA	CW-617	CW-694	CW-573	1420	1700	0	2
ECW2.1-970	Zaili-Jinden Revolt	710	CHN	1891-11-11	1891-12-27	NA	NA	CW-618	NA	NA	NA	10500	0	1
ECW2.1-975	Second Franco-Dahomeyan	220	FRN	1892-9-19	1893-11-9	NA	NA	ES-396	IW-387	ES-373	5170	1880	NA	1
ECW2.1-980	Belgian-Tib	211	BEL	1892-10-1	1894-2-15	NA	NA	ES-397	IW-381	ES-376	5180	20000	NA	1
ECW2.1-985	Brazil Federalists	140	BRA	1893-2-2	1894-8-31	NA	NA	CW-620	CW-697	CW-574	1425	1500	0	1
ECW2.1-990	Brazil Naval	140	BRA	1893-9-6	1894-4-16	NA	NA	CW-621	CW-700	CW-575	1430	1000	0	1
ECW2.1-995	Third British-Ashanti	200	UKG	1893-9-28	1894-12-15	NA	NA	ES-398	IW-390	ES-377	5185	1000	NA	1
ECW2.1-1000	Melilla War	230	SPN	1893-9-29	1894-3-5	NA	NA	ES-399	NA	NA	NA	2500	NA	1
ECW2.1-1005	Mahdist-Italian	325	ITA	1893-12-21	1894-7-12	NA	NA	ES-400	NA	NA	NA	5270	NA	1
ECW2.1-1010	Tonghak Rebellion	730	KOR	1894-2-28	1894-5-6	1894-9-14	1894-11-28	CW-623	NA	NA	NA	NA	1	1
ECW2.1-1010	Tonghak Rebellion	740	JPN	1894-10-24	1894-11-28	NA	NA	CW-623	NA	NA	NA	NA	1	1
ECW2.1-1015	Second Dutch-Bali	210	NTH	1894-7-1	1894-11-22	NA	NA	ES-402	IW-389	ES-379	5190	3000	NA	1
ECW2.1-1020	Third Peru	135	PER	1894-10-15	1895-3-19	NA	NA	CW-625	CW-703	CW-577	1435	4000	0	2
